"Goroka.Airport","Goroka","Papua.New.Guinea","GKA"
"Jersey Airport","Jersey","Jersey","JER"
"Shoreham Airport","Shoreham By Sea","United Kingdom","ESH"
"London Biggin Hill Airport","Biggin Hill","United Kingdom","BQH"
"London Gatwick Airport","London","United Kingdom","LGW"
"London City Airport","London","United Kingdom","LCY"
"Farnborough Airport","Farnborough","United Kingdom","FAB"
"Chalgrove Airport","Chalsgrove","United Kingdom","\N"
"Blackbushe Airport","Blackbushe","United Kingdom","BBS"
"London Heathrow Airport","London","United Kingdom","LHR"
"Southend Airport","Southend","United Kingdom","SEN"
"Lydd Airport","Lydd","United Kingdom","LYX"
"Kent International Airport","Manston","United Kingdom","MSE"
"Brough Airport","Brough","United Kingdom","\N"
"Carlisle Airport","Carlisle","United Kingdom","CAX"
"Retford Gamston Airport","Repton","United Kingdom","\N"
"Blackpool International Airport","Blackpool","United Kingdom","BLK"
"Humberside Airport","Humberside","United Kingdom","HUY"
"Barrow Walney Island Airport","Barrow Island","United Kingdom","BWF"
"Leeds Bradford Airport","Leeds","United Kingdom","LBA"
"Warton Airport","Warton","United Kingdom","WRT"
"Hawarden Airport","Hawarden","United Kingdom","CEG"
"Isle of Man Airport","Isle Of Man","Isle of Man","IOM"
"Newcastle Airport","Newcastle","United Kingdom","NCL"
"Durham Tees Valley Airport","Teesside","United Kingdom","MME"
"East Midlands Airport","East Midlands","United Kingdom","EMA"
"Llanbedr Airport","Llanbedr","United Kingdom","\N"
"RAF Ternhill","Ternhill","United Kingdom","\N"
"RAF Shawbury","Shawbury","United Kingdom","\N"
"RAF Woodvale","Woodvale","United Kingdom","\N"
"Kirkwall Airport","Kirkwall","United Kingdom","KOI"
"Sumburgh Airport","Sumburgh","United Kingdom","LSI"
"Wick Airport","Wick","United Kingdom","WIC"
"Aberdeen Dyce Airport","Aberdeen","United Kingdom","ABZ"
"Inverness Airport","Inverness","United Kingdom","INV"
"Glasgow International Airport","Glasgow","United Kingdom","GLA"
"Edinburgh Airport","Edinburgh","United Kingdom","EDI"
"Islay Airport","Islay","United Kingdom","ILY"
"Glasgow Prestwick Airport","Prestwick","United Kingdom","PIK"
"Benbecula Airport","Benbecula","United Kingdom","BEB"
"Scatsta Airport","Scatsta","United Kingdom","SCS"
"Dundee Airport","Dundee","United Kingdom","DND"
"Stornoway Airport","Stornoway","United Kingdom","SYY"
"Tiree Airport","Tiree","United Kingdom","TRE"
"RAF Leuchars","Leuchars","United Kingdom","ADX"
"RAF Lossiemouth","Lossiemouth","United Kingdom","LMO"
"Cambridge Airport","Cambridge","United Kingdom","CBG"
"Peterborough Business Airport","Peterborough","United Kingdom","\N"
"Norwich International Airport","Norwich","United Kingdom","NWI"
"London Stansted Airport","London","United Kingdom","STN"
"North Weald Airport","North Weald","United Kingdom","\N"
"Sheffield City Heliport","Fowlmere","United Kingdom","\N"
"Cranfield Airport","Cranfield","United Kingdom","\N"
"Exeter International Airport","Exeter","United Kingdom","EXT"
"Bristol Filton Airport","Bristol","United Kingdom","FZO"
"Oxford (Kidlington) Airport","Oxford","United Kingdom","OXF"
"RAF Benson","Benson","United Kingdom","BEX"
"RAF Lakenheath","Lakenheath","United Kingdom","LKZ"
"RAF Mildenhall","Mildenhall","United Kingdom","MHZ"
"RAF Wattisham","Wattisham","United Kingdom","\N"
"RAF Wyton","Wyton","United Kingdom","QUY"
"RAF Fairford","Fairford","United Kingdom","FFD"
"RAF Brize Norton","Brize Norton","United Kingdom","BZZ"
"RAF Odiham","Odiham","United Kingdom","ODH"
"DCAE Cosford Air Base","Cosford","United Kingdom","\N"
"RAF Northolt","Northolt","United Kingdom","NHT"
"RAF Coningsby","Coningsby","United Kingdom","QCY"
"RAF Dishforth","Dishforth","United Kingdom","\N"
"Leeming Airport","Leeming","United Kingdom","\N"
"Leeds East Airport","Church Fenton","United Kingdom","\N"
"RAF Honington","Honington","United Kingdom","BEQ"
"RAF Cottesmore","Cottesmore","United Kingdom","\N"
"RAF Scampton","Scampton","United Kingdom","SQZ"
"RAF Wittering","Wittering","United Kingdom","\N"
"RAF Linton-On-Ouse","Linton-on-ouse","United Kingdom","HRT"
"RAF Waddington","Waddington","United Kingdom","WTN"
"RAF Topcliffe","Topcliffe","United Kingdom","\N"
"RAF Cranwell","Cranwell","United Kingdom","\N"
"RAF Barkston Heath","Barkston Heath","United Kingdom","\N"
"RAF Marham","Marham","United Kingdom","KNF"
"Mount Pleasant Airport","Mount Pleasant","Falkland Islands","MPN"
"Amsterdam Airport Schiphol","Amsterdam","Netherlands","AMS"
"Budel Airfield Kempen","Weert","Netherlands","\N"
"Maastricht Aachen Airport","Maastricht","Netherlands","MST"
"Deelen Air Base","Deelen","Netherlands","\N"
"Drachten Airport","Drachten","Netherlands","\N"
"Eindhoven Airport","Eindhoven","Netherlands","EIN"
"Eelde Airport","Groningen","Netherlands","GRQ"
"Gilze Rijen Air Base","Gilze-rijen","Netherlands","GLZ"
"De Kooy Airport","De Kooy","Netherlands","DHR"
"Lelystad Airport","Lelystad","Netherlands","LEY"
"Leeuwarden Air Base","Leeuwarden","Netherlands","LWR"
"Rotterdam The Hague Airport","Rotterdam","Netherlands","RTM"
"Soesterberg Air Base","Soesterberg","Netherlands","UTC"
"Twente Airport","Enschede","Netherlands","ENS"
"Valkenburg Naval Air Base","Valkenburg","Netherlands","LID"
"Woensdrecht Air Base","Woensdrecht","Netherlands","WOE"
"Cork Airport","Cork","Ireland","ORK"
"Galway Airport","Galway","Ireland","GWY"
"Dublin Airport","Dublin","Ireland","DUB"
"Ireland West Knock Airport","Connaught","Ireland","NOC"
"Kerry Airport","Kerry","Ireland","KIR"
"Casement Air Base","Casement","Ireland","\N"
"Shannon Airport","Shannon","Ireland","SNN"
"Sligo Airport","Sligo","Ireland","SXL"
"Waterford Airport","Waterford","Ireland","WAT"
"Aarhus Airport","Aarhus","Denmark","AAR"
"Billund Airport","Billund","Denmark","BLL"
"Copenhagen Kastrup Airport","Copenhagen","Denmark","CPH"
"Esbjerg Airport","Esbjerg","Denmark","EBJ"
"Grønholt Hillerød Airport","Gronholt","Denmark","\N"
"Karup Airport","Karup","Denmark","KRP"
"Læsø Airport","Laeso","Denmark","BYR"
"Lolland Falster Maribo Airport","Maribo","Denmark","MRW"
"Odense Airport","Odense","Denmark","ODE"
"Kruså-Padborg Airport","Krusa-padborg","Denmark","\N"
"Copenhagen Roskilde Airport","Copenhagen","Denmark","RKE"
"Bornholm Airport","Ronne","Denmark","RNN"
"Sønderborg Airport","Soenderborg","Denmark","SGD"
"Skrydstrup Air Base","Skrydstrup","Denmark","SKS"
"Skive Airport","Skive","Denmark","SQW"
"Thisted Airport","Thisted","Denmark","TED"
"Kolding Vamdrup Airfield","Kolding","Denmark","\N"
"Vagar Airport","Vagar","Faroe Islands","FAE"
"Vesthimmerlands Flyveplads","Vesthimmerland","Denmark","\N"
"Stauning Airport","Stauning","Denmark","STA"
"Aalborg Airport","Aalborg","Denmark","AAL"
"Luxembourg-Findel International Airport","Luxemburg","Luxembourg","LUX"
"Ålesund Airport","Alesund","Norway","AES"
"Andøya Airport","Andoya","Norway","ANX"
"Alta Airport","Alta","Norway","ALF"
"Bømoen Airport","Voss","Norway","\N"
"Brønnøysund Airport","Bronnoysund","Norway","BNN"
"Bodø Airport","Bodo","Norway","BOO"
"Bergen Airport Flesland","Bergen","Norway","BGO"
"Båtsfjord Airport","Batsfjord","Norway","BJF"
"Kristiansand Airport","Kristiansand","Norway","KRS"
"Geilo Airport Dagali","Geilo","Norway","DLD"
"Bardufoss Airport","Bardufoss","Norway","BDU"
"Harstad/Narvik Airport, Evenes","Harstad/Narvik","Norway","EVE"
"Leirin Airport","Fagernes","Norway","VDB"
"Florø Airport","Floro","Norway","FRO"
"Oslo Lufthavn","Oslo","Norway","OSL"
"Haugesund Airport","Haugesund","Norway","HAU"
"Hasvik Airport","Hasvik","Norway","HAA"
"Kristiansund Airport (Kvernberget)","Kristiansund","Norway","KSU"
"Kjeller Airport","Kjeller","Norway","\N"
"Kirkenes Airport (Høybuktmoen)","Kirkenes","Norway","KKN"
"Lista Airport","Farsund","Norway","FAN"
"Molde Airport","Molde","Norway","MOL"
"Mosjøen Airport (Kjærstad)","Mosjoen","Norway","MJF"
"Banak Airport","Lakselv","Norway","LKL"
"Notodden Airport","Notodden","Norway","NTB"
"Ørland Airport","Orland","Norway","OLA"
"Røros Airport","Roros","Norway","RRS"
"Moss Airport, Rygge","Rygge","Norway","RYG"
"Svalbard Airport, Longyear","Svalbard","Norway","LYR"
"Skien Airport","Skien","Norway","SKE"
"Stord Airport","Stord","Norway","SRP"
"Sandnessjøen Airport (Stokka)","Sandnessjoen","Norway","SSJ"
"Tromsø Airport,","Tromso","Norway","TOS"
"Sandefjord Airport, Torp","Sandefjord","Norway","TRF"
"Trondheim Airport Værnes","Trondheim","Norway","TRD"
"Stavanger Airport Sola","Stavanger","Norway","SVG"
"Babice Airport","Warsaw","Poland","\N"
"Gdańsk Lech Wałęsa Airport","Gdansk","Poland","GDN"
"Kraków John Paul II International Airport","Krakow","Poland","KRK"
"Muchowiec Airport","Katowice","Poland","\N"
"Katowice International Airport","Katowice","Poland","KTW"
"Mielec Airport","Mielec","Poland","\N"
"Poznań-Ławica Airport","Poznan","Poland","POZ"
"Rzeszów-Jasionka Airport","Rzeszow","Poland","RZE"
"Szczecin-Goleniów ""Solidarność"" Airport","Szczecin","Poland","SZZ"
"Redzikowo Air Base","Slupsk","Poland","OSP"
"Swidwin Military Air Base","Shapaja","Poland","\N"
"Warsaw Chopin Airport","Warsaw","Poland","WAW"
"Copernicus Wrocław Airport","Wroclaw","Poland","WRO"
"Zielona Góra-Babimost Airport","Zielona Gora","Poland","IEG"
"Malmen Air Base","Linkoeping","Sweden","\N"
"Bråvalla Air Base","Norrkoeping","Sweden","\N"
"Uppsala Airport","Uppsala","Sweden","\N"
"Ronneby Airport","Ronneby","Sweden","RNB"
"Råda Air Base","Rada","Sweden","\N"
"Gothenburg-Landvetter Airport","Gothenborg","Sweden","GOT"
"Jönköping Airport","Joenkoeping","Sweden","JKG"
"Falköping Airport","Falkoping","Sweden","\N"
"Lidköping-Hovby Airport","Lidkoping","Sweden","LDK"
"Gothenburg City Airport","Gothenborg","Sweden","GSE"
"Skövde Airport","Skovde","Sweden","KVB"
"Trollhättan-Vänersborg Airport","Trollhattan","Sweden","THN"
"Karlsborg Air Base","Karlsborg","Sweden","\N"
"Såtenäs Air Base","Satenas","Sweden","\N"
"Barkarby Airport","Stockholm","Sweden","\N"
"Karlskoga Airport","Karlskoga","Sweden","KSK"
"Mora Airport","Mora","Sweden","MXX"
"Stockholm Skavsta Airport","Stockholm","Sweden","NYO"
"Arvika Airport","Arvika","Sweden","\N"
"Emmaboda Airfield","Emmaboda","Sweden","\N"
"Feringe Airport","Ljungby","Sweden","\N"
"Kristianstad Airport","Kristianstad","Sweden","KID"
"Landskrona Airport","Landskrona","Sweden","\N"
"Oskarshamn Airport","Oskarshamn","Sweden","OSK"
"Anderstorp Airport","Anderstorp","Sweden","\N"
"Kalmar Airport","Kalkmar","Sweden","KLR"
"Malmö Sturup Airport","Malmoe","Sweden","MMX"
"Halmstad Airport","Halmstad","Sweden","HAD"
"Hagshult Air Base","Hagshult","Sweden","\N"
"Växjö Kronoberg Airport","Vaxjo","Sweden","VXO"
"Hallviken Airport","Hallviken","Sweden","\N"
"Hedlanda Airport","Hede","Sweden","\N"
"Sveg Airport","Sveg","Sweden","EVG"
"Gällivare Airport","Gallivare","Sweden","GEV"
"Hudiksvall Airport","Hudiksvall","Sweden","HUV"
"Jokkmokk Airport","Jokkmokk","Sweden","\N"
"Kramfors Sollefteå Airport","Kramfors","Sweden","KRF"
"Lycksele Airport","Lycksele","Sweden","LYC"
"Optand Airport","Optand","Sweden","\N"
"Sundsvall-Härnösand Airport","Sundsvall","Sweden","SDL"
"Örnsköldsvik Airport","Ornskoldsvik","Sweden","OER"
"Piteå Airport","Pitea","Sweden","\N"
"Kiruna Airport","Kiruna","Sweden","KRN"
"Orsa Airport","Orsa","Sweden","\N"
"Skellefteå Airport","Skelleftea","Sweden","SFT"
"Sättna Airport","Sattna","Sweden","\N"
"Umeå Airport","Umea","Sweden","UME"
"Vilhelmina Airport","Vilhelmina","Sweden","VHM"
"Arvidsjaur Airport","Arvidsjaur","Sweden","AJR"
"Örebro Airport","Orebro","Sweden","ORB"
"Stockholm Västerås Airport","Vasteras","Sweden","VST"
"Luleå Airport","Lulea","Sweden","LLA"
"Vidsel Air Base","Vidsel","Sweden","\N"
"Arboga Airport","Arboga","Sweden","\N"
"Stockholm-Arlanda Airport","Stockholm","Sweden","ARN"
"Stockholm-Bromma Airport","Stockholm","Sweden","BMA"
"Borlange Airport","Borlange","Sweden","BLE"
"Hultsfred Airport","Hultsfred","Sweden","HLF"
"Gävle Sandviken Airport","Gavle","Sweden","GVX"
"Linköping City Airport","Linkoeping","Sweden","LPI"
"Norrköping Airport","Norrkoeping","Sweden","NRK"
"Eskilstuna Airport","Eskilstuna","Sweden","EKT"
"Visby Airport","Visby","Sweden","VBY"
"Kalixfors Airport","Kalixfors","Sweden","\N"
"Spangdahlem Air Base","Spangdahlem","Germany","SPM"
"Ramstein Air Base","Ramstein","Germany","RMS"
"[Duplicate] Giebelstadt Army Air Field","Giebelstadt","Germany","GHF"
"Bückeburg Air Base","Brueckeburg","Germany","\N"
"Celle Airport","Celle","Germany","ZCN"
"Rheine Bentlage Air Base","Rheine-brentlange","Germany","\N"
"Fritzlar Airport","Fritzlar","Germany","FRZ"
"Laupheim Air Base","Laupheim","Germany","\N"
"Mendig Airfield","Mendig","Germany","\N"
"Niederstetten Army Air Base","Niederstetten","Germany","\N"
"Roth Airport","Roth","Germany","\N"
"Fassberg Air Base","Fassberg","Germany","\N"
"Grafenwohr Army Air Field","Grafenwoehr","Germany","\N"
"Hanau Army Air Field","Hanau","Germany","ZNF"
"Hohenfels Army Air Field","Hohenfels","Germany","\N"
"Flugplatz Kitzingen","Kitzingen","Germany","KZG"
"Nordholz Naval Airbase","Nordholz","Germany","FCN"
"Diepholz Air Base","Diepholz","Germany","\N"
"Geilenkirchen Air Base","Geilenkirchen","Germany","GKE"
"Hohn Air Base","Hohn","Germany","\N"
"Jever Air Base","Jever","Germany","\N"
"Rostock-Laage Airport","Laage","Germany","RLG"
"Nörvenich Air Base","Noervenich","Germany","\N"
"Schleswig Air Base","Schleswig","Germany","WBG"
"Wittmundhafen Airport","Wittmundhafen","Germany","\N"
"Wunstorf Air Base","Wunstorf","Germany","\N"
"Vilseck Army Air Field","Vilseck","Germany","\N"
"Coleman Army Air Field","Coleman","Germany","\N"
"Wiesbaden Army Airfield","Wiesbaden","Germany","WIE"
"Landsberg Lech Air Base","Landsberg","Germany","\N"
"Büchel Air Base","Buechel","Germany","\N"
"Erding Airport","Erding","Germany","\N"
"Fürstenfeldbruck Air Base","Fuerstenfeldbruck","Germany","FEL"
"Holzdorf Air Base","Holzdorf","Germany","\N"
"Ingolstadt Manching Airport","Ingolstadt","Germany","IGS"
"Lechfeld Air Base","Lechfeld","Germany","\N"
"Neuburg AFB","Neuburg","Germany","\N"
"Gütersloh Air Base","Guetersloh","Germany","GUT"
"Alexander Bay Airport","Alexander Bay","South Africa","ALJ"
"Aggeneys Airport","Aggeneys","South Africa","AGZ"
"Brakpan Airport","Brakpan","South Africa","\N"
"Bisho Airport","Bisho","South Africa","BIY"
"Bram Fischer International Airport","Bloemfontein","South Africa","BFN"
"Bethlehem Airport","Bethlehem","South Africa","\N"
"Hendrik Potgieter Airport","Bothaville","South Africa","\N"
"Cape Town International Airport","Cape Town","South Africa","CPT"
"Calvinia Airport","Calvinia","South Africa","\N"
"King Shaka International Airport","Durban","South Africa","DUR"
"Ben Schoeman Airport","East London","South Africa","ELS"
"Ermelo Airport","Ermelo","South Africa","\N"
"Ficksburg Sentraoes Airport","Ficksburg","South Africa","FCB"
"Grand Central Airport","Johannesburg","South Africa","GCJ"
"George Airport","George","South Africa","GRJ"
"Graaff Reinet Airport","Graaff Reinet","South Africa","\N"
"Grahamstown Airport","Grahamstown","South Africa","\N"
"Greytown Airport","Greytown","South Africa","\N"
"Harmony Airport","Harmony","South Africa","\N"
"Harrismith Airport","Harrismith","South Africa","HRS"
"Hoedspruit Air Force Base Airport","Hoedspruit","South Africa","HDS"
"Gariep Dam Airport","Hendrik Verwoerddam","South Africa","\N"
"OR Tambo International Airport","Johannesburg","South Africa","JNB"
"P C Pelser Airport","Klerksdorp","South Africa","KXE"
"Kimberley Airport","Kimberley","South Africa","KIM"
"Krugersdorp Airport","Krugersdorp","South Africa","\N"
"Kroonstad Airport","Kroonstad","South Africa","\N"
"Johan Pienaar Airport","Kuruman","South Africa","KMH"
"Kleinsee Airport","Kleinsee","South Africa","KLZ"
"Lanseria Airport","Johannesburg","South Africa","HLA"
"Lichtenburg Airport","Lichtenburg","South Africa","\N"
"Makhado Air Force Base Airport","Lambertsbaai","South Africa","\N"
"Langebaanweg Airport","Langebaanweg","South Africa","SDB"
"Ladysmith Airport","Ladysmith","South Africa","LAY"
"Middelburg Airport","Middelburg","South Africa","\N"
"Margate Airport","Margate","South Africa","MGH"
"Marble Hall Airport","Marble Hall","South Africa","\N"
"Majuba Power Station Airport","Majuba Power Station","South Africa","\N"
"Riverside Airport","Malalane","South Africa","LLE"
"Morningside Farm Airport","Musina","South Africa","\N"
"Mkuze Airport","Mkuze","South Africa","MZQ"
"Newcastle Airport","Newcastle","South Africa","NCS"
"Nylstroom Airfield","Nylstroom","South Africa","\N"
"Overberg Airport","Overberg","South Africa","OVG"
"Oudtshoorn Airport","Oudtshoorn","South Africa","OUH"
"Port Elizabeth Airport","Port Elizabeth","South Africa","PLZ"
"Plettenberg Bay Airport","Plettenberg Bay","South Africa","PBZ"
"Hendrik Van Eck Airport","Phalaborwa","South Africa","PHW"
"Pietersburg Municipal Airport","Polokwane","South Africa","\N"
"Port St Johns Airport","Port Saint Johns","South Africa","JOH"
"Pietermaritzburg Airport","Pietermaritzburg","South Africa","PZB"
"Pilanesberg International Airport","Pilanesberg","South Africa","NTY"
"Polokwane International Airport","Potgietersrus","South Africa","PTG"
"Potchefstroom Airport","Potchefstroom","South Africa","PCF"
"Parys Airport","Parys","South Africa","\N"
"Queenstown Airport","Queenstown","South Africa","UTW"
"Richards Bay Airport","Richard's Bay","South Africa","RCB"
"Rustenburg Airport","Rustenburg","South Africa","\N"
"Robertson Airport","Robertson","South Africa","ROD"
"Springbok Airport","Springbok","South Africa","SBU"
"Secunda Airport","Secunda","South Africa","ZEC"
"Saldanha /Vredenburg Airport","Saldanha","South Africa","\N"
"Springs Airfield","Springs","South Africa","\N"
"Swartkop Air Force Base","Swartkop","South Africa","\N"
"Sishen Airport","Sishen","South Africa","SIS"
"Hendrik Swellengrebel Airport","Swellendam","South Africa","\N"
"Skukuza Airport","Skukuza","South Africa","SZK"
"Tommys Field Airport","Tommy's Field","South Africa","\N"
"New Tempe Airport","Bloemfontein","South Africa","\N"
"Tutuka Power Station Airport","Tutuka","South Africa","\N"
"Tzaneen Airport","Tzaneen","South Africa","LTA"
"Prince Mangosuthu Buthelezi Airport","Ulundi","South Africa","ULD"
"Pierre Van Ryneveld Airport","Upington","South Africa","UTN"
"K. D. Matanzima Airport","Umtata","South Africa","UTT"
"Vryburg Airport","Vryburg","South Africa","VRU"
"Virginia Airport","Durban","South Africa","VIR"
"Vredendal Airport","Vredendal","South Africa","VRE"
"Vereeniging Airport","Vereeniging","South Africa","\N"
"Wonderboom Airport","Pretoria","South Africa","PRY"
"Witbank Airport","Witbank","South Africa","\N"
"Waterkloof Air Force Base","Waterkloof","South Africa","WKF"
"Welkom Airport","Welkom","South Africa","\N"
"Ysterplaat Air Force Base","Ysterplaat","South Africa","\N"
"Zeerust Airport","Zeerust","South Africa","\N"
"Francistown Airport","Francistown","Botswana","FRW"
"Jwaneng Airport","Jwaneng","Botswana","JWA"
"Kasane Airport","Kasane","Botswana","BBK"
"Maun Airport","Maun","Botswana","MUB"
"Sir Seretse Khama International Airport","Gaberone","Botswana","GBE"
"Selebi Phikwe Airport","Selebi-phikwe","Botswana","PKW"
"Maya-Maya Airport","Brazzaville","Congo (Brazzaville)","BZV"
"Owando Airport","Owando","Congo (Kinshasa)","FTX"
"Ouesso Airport","Ouesso","Congo (Kinshasa)","OUE"
"Pointe Noire Airport","Pointe-noire","Congo (Brazzaville)","PNR"
