"compagnia_aerea","aeroplano"
"Compania de Servicios Aereos Tavisa","AP712"
"Singapore Airlines","AP801"
"Cruzeiro do Sul Servicos Aereos","AP373"
"Servicios Aereos Noticiosos","AP778"
"Helicopter Training & Hire","AP862"
"AeroRep","AP405"
"Trans Asian Airlines","AP492"
"Hak Air","AP927"
"Ptarmigan Airways","AP605"
"Havilah Air Services","AP737"
"Monde Air Charters","AP690"
"Jetlink Holland","AP134"
"Contact Air","AP679"
"Aero Vics","AP503"
"Aerocheyenne","AP544"
"Thyssen Krupp AG","AP722"
"Montenegro Airlines","AP211"
"LASTP","AP159"
"Air Taxi","AP13"
"Sunu Air","AP420"
"Southern Jersey Airways","AP415"
"Central Airlines","AP170"
"Crownair","AP28"
"Global Jet Austria","AP387"
"Minerva Airlines","AP223"
"Interstate Airline","AP341"
"Jet4You","AP132"
"Aerosud Aviation","AP740"
"Dinar","AP244"
"Auckland Regional Rescue Helicopter Trust","AP916"
"Bravo Air Congo","AP247"
"Northern Illinois Commuter","AP74"
"Taxi Air Fret","AP884"
"Pal airlines","AP980"
"International Europe","AP243"
"Aerosaba","AP966"
"London Executive Aviation","AP348"
"Ocean Air","AP887"
"KSY","AP231"
"Silk Way Airlines","AP775"
"Empresa (Aero Uruguay)","AP143"
"Air Cargo Carriers","AP676"
"ExpressJet","AP146"
"Airdeal Oy","AP894"
"Antonov Airlines","AP837"
"Access Air","AP80"
"Lanzarote Aerocargo","AP229"
"Operation Enduring Freedom","AP478"
"Air Cal","AP228"
"Academy Airlines","AP382"
"Royal Jordanian Air Force","AP16"
"Air Klaipeda","AP792"
"Eagle International","AP384"
"Hi Fly","AP901"
"Kazan Helicopters","AP566"
"Freedom Air Services","AP211"
"Direct Air","AP112"
"Maldivian","AP844"
"Japan Regio","AP572"
"Airlines Of Tasmania","AP987"
"Chemech Aviation","AP54"
"Servicios Aereos Copters","AP1"
"ATMA","AP469"
"Transaustralian Air Express","AP570"
"Embassy Freight Company","AP525"
"MCC Aviation","AP481"
"Western Air Express","AP887"
"Vega Air Company","AP944"
"Lnair Air Services","AP345"
"Africair Service","AP609"
"Fly Dubai","AP820"
"Gazpromavia","AP29"
"ZABAIKAL AIRLINES","AP232"
"Rio Air Express","AP236"
"Foxair","AP272"
"Sky Aircraft Service","AP535"
"Nanyah Aviation","AP503"
"Buffalo Airways","AP897"
"Swiss Jet","AP356"
"Samara Airlines","AP499"
"Air Niugini","AP551"
"Aerogaucho","AP660"
"Austin Express","AP30"
"OAG","AP581"
"Meridian Airlines","AP76"
"Fast Helicopters","AP398"
"FR Aviation","AP336"
"Air Plan International","AP571"
"Wizz Air Hungary","AP390"
"Moldavian Airlines","AP836"
"Trans Jet Airways","AP38"
"Air Kiribati","AP870"
"Nürnberger Flugdienst","AP325"
"Farwest Airlines","AP133"
"Best Air","AP536"
"Servicios Aereos de Chihuahua Aerochisa","AP511"
"Merpati Nusantara Airlines","AP836"
"Koda International","AP50"
"Telnic Limited","AP793"
"Czech Air Handling","AP538"
"Cruiser Linhas Aereas","AP553"
"Gujarat Airways","AP88"
"Japan Airlines","AP913"
"Ibk-Petra","AP147"
"Air Saigon","AP300"
"Transaviaexport","AP313"
"Aircompany Barcol","AP657"
"Northwest Regional Airlines","AP193"
"Gabon Express","AP116"
"Avio Nord","AP381"
"Abas","AP528"
"Aviast Air","AP669"
"Midway Express","AP874"
"Flygaktiebolaget Gota Vingar","AP536"
"Aero Costa Taxi Aereo","AP62"
"Air Inuit","AP867"
"Air Ada","AP751"
"California Air Shuttle","AP501"
"SMA Airlines","AP271"
"AtlasGlobal Ukraine","AP786"
"Aero Ejecutivos","AP133"
"Lineas Aereas Eldorado","AP700"
"Aeroventas","AP113"
"Audeli Air","AP135"
"Air Today","AP540"
"LSM International ","AP322"
"Freight Runners Express","AP161"
"Trener Ltd","AP666"
"RA Jet Aeroservicios","AP673"
"TransNusa Air","AP173"
"Ivoire Aero Services","AP4"
"Gatari Hutama Air Services","AP335"
"OAG","AP393"
"Bearing Supplies Limited","AP16"
"Trans Nation Airways","AP675"
"Cranfield University","AP148"
"Burundayavia","AP200"
"Gestion Aerea Ajecutiva","AP673"
"Allcanada Express","AP586"
"Line Blue","AP737"
"Veritair Ltd","AP68"
"Empresa Nacional De Servicios Aereos","AP675"
"Golfe Air Quebec","AP293"
"Air Greenland","AP997"
"Forth and Clyde Helicopter Services","AP665"
"Casper Air Service","AP163"
"Cetraca Aviation Service","AP361"
"Musrata Air Transport","AP769"
"Servicios Aereos Centrales","AP491"
"SITA","AP688"
"Gestar","AP985"
"Secretaria de Marina","AP511"
"Winair","AP635"
"Griffin Aviation","AP613"
"United Air Charters","AP469"
"Transportacion Aerea Del Mar De Cortes","AP443"
"Teledyne Continental Motors","AP38"
"Star Flyer","AP813"
"United Carriers Systems","AP79"
"Flylink Express","AP749"
"IBL Aviation","AP314"
"Lineas Aereas San Jose","AP693"
"Houston Jet Services","AP816"
"Lina Congo","AP567"
"Orient Airlines","AP215"
"Copterline","AP453"
"Unijet","AP181"
"Blue Islands","AP536"
"Burundayavia","AP968"
"Port Townsend Airways","AP816"
"Armavia","AP891"
"Zanair","AP433"
"Catalina Flying Boats","AP442"
"Mauritania Airways","AP410"
"Aeroingenieria","AP329"
"Custom Air Transport","AP877"
"Alexandria Airlines","AP405"
"Ixair","AP867"
"Mountain Air Express","AP198"
"Skyworld Airlines","AP572"
"ESI Eliservizi Italiani","AP184"
"Cairo Air Transport Company","AP194"
"Vernicos Aviation","AP397"
"Southern Cross Aviation","AP998"
"Aerovista Gulf Express","AP193"
"Islands Nationair","AP650"
"Martinaire","AP299"
"British Mediterranean Airways","AP315"
"West Caribbean Airways","AP926"
"Air Palace","AP813"
"Publiservicios Aereos","AP103"
"Servant Air","AP257"
"Laughlin Express","AP351"
"Delta Air Charter","AP958"
"Horizon Airlines","AP47"
"Kata Transportation","AP628"
"Propair","AP60"
"Crimea Universal Avia","AP581"
"Aeronavigaciya","AP220"
"Trans Maldivian Airways","AP647"
"GECAS","AP258"
"Vernicos Aviation","AP679"
"Air Florida","AP200"
"Eurocontrol","AP467"
"Michael Airlines","AP816"
"Dancopter","AP161"
"Skorpion Air","AP277"
"Central Flying Service","AP858"
"Sky Airline","AP213"
"Blue Sky Airways","AP156"
"Wind Jet","AP828"
"Aerosur","AP992"
"Aviapartner Limited Company","AP219"
"Decatur Aviation","AP996"
"Flamingo Air-Line","AP21"
"Hozu-Avia","AP262"
"Saskatchewan Government","AP540"
"Air Cargo Belize","AP454"
"Air Care Alliance","AP726"
"Kavouras Inc","AP394"
"Spring Airlines Japan","AP906"
"Chipola Aviation","AP850"
"Yellow Air Taxi","AP805"
"Arcus-Air Logistic","AP176"
"Teamline Air","AP341"
"Delaware Skyways","AP888"
"Baron Aviation Services","AP595"
"Polish Air Force","AP988"
"Iwamoto Crane Co Ltd","AP689"
"Medavia Company","AP373"
"Citationshares","AP478"
"Thai Airways International","AP798"
"Cosmic Air","AP946"
"LAN Cargo","AP625"
"Mississippi Valley Airways","AP324"
"Jubilee Airways","AP595"
"US Africa Airways","AP796"
"Ural Airlines","AP117"
"Bond Air Services","AP33"
"Far Eastern Air Transport","AP654"
"Safari Express Cargo","AP926"
"Missionair","AP977"
"Varig Log","AP717"
"JAL Express","AP741"
"Transportes La Paz","AP849"
"Alamia Air","AP991"
"Grand Cru Airlines","AP871"
"Linea Aerea Mexicana de Carga","AP953"
"Amiya Airline","AP495"
"Nacoia Lda","AP196"
"CKC Services","AP980"
"Eti 2000","AP302"
"Musrata Air Transport","AP104"
"E H Darby Aviation","AP331"
"Senegal Airlines","AP483"
"Kaiser Air","AP826"
"Volaris","AP777"
"Thomsonfly","AP649"
"Heavylift Cargo Airlines","AP641"
"Alghanim","AP389"
"Cayman Airways","AP627"
"Semeyavia","AP75"
"Astoria","AP339"
"Horizon Air","AP778"
"Horizon Airlines","AP566"
"Orange Aviation","AP432"
"Sky Jet","AP456"
"Pearl Air","AP737"
"Valair AG (Helicoptere)","AP547"
"Bistair - Fez","AP814"
"Air Batumi","AP158"
"U.S. Department of the Interior","AP786"
"Pelican Express","AP337"
"Streamline Aviation","AP21"
"FR Aviation","AP190"
"AeroSucre","AP589"
"Gabon-Air-Transport","AP548"
"Fly International Airways","AP591"
"Atlantique Air Assistance","AP992"
"Challenge Aviation","AP884"
"Air BC","AP106"
"Kata Transportation","AP602"
"Columbus Air Transport","AP870"
"Aero Jet Express","AP479"
"Central Mongolia Airways","AP401"
"Afrinat International Airlines","AP164"
"Eastern Atlantic Charters","AP395"
"easyJet","AP743"
"Artis","AP163"
"Embry-Riddle Aeronautical University","AP508"
"AtlasGlobal Ukraine","AP360"
"Safarilink Aviation","AP889"
"Minsk Aircraft Overhaul Plant","AP600"
"ACM Air Charter","AP691"
"Shar Ink","AP723"
"Sunrise Airways","AP377"
"UTAGE","AP407"
"Bookajet Limited","AP889"
"Air Max","AP881"
"Air Safaris and Services","AP889"
"Corpac Canada","AP384"
"Branson Airlines","AP834"
"Nashville Jet Charters","AP937"
"Southeast Air","AP107"
"Heliswiss","AP560"
"Church Fenton Flying Training Unit","AP635"
"Komsomolsk-on-Amur Air Enterprise","AP747"
"Sistemas Aeronauuticos 2000","AP797"
"Rossiya","AP844"
"Northern Aviation Service","AP983"
"COBALT","AP933"
"Exxavia Limited","AP652"
"Nelson Aviation College","AP841"
"NEL Cargo","AP133"
"BMW","AP347"
"Norsk Luftambulanse","AP211"
"Sky Exec Aviation Services","AP361"
"Joint Military Commission","AP144"
"C and M Aviation","AP355"
"Saber Airlines","AP747"
"Lamra","AP424"
"Papair Terminal","AP502"
"Edinburgh Air Charter","AP942"
"Helitalia","AP751"
"Westfalia Express VA","AP447"
"Canadian Regional Airlines","AP651"
"Siren-Travel","AP988"
"Griffin Aviation","AP917"
"St. Vincent Grenadines Air (1990)","AP268"
"Atlantic Gulf Airlines","AP517"
"Lynx Aviation (L3/SSX)","AP361"
"Helikopterservice Euro Air","AP745"
"Paragon Air Express","AP186"
"Red Jet Andes","AP65"
"Aero Servicio Pity","AP548"
"Panorama Flight Service","AP705"
"Air Kraft Mir","AP665"
"Air Fret De Mauritanie","AP551"
"Air Srpska","AP436"
"Air Europe","AP184"
"JS Air","AP128"
"Air Service","AP903"
"North Atlantic Air Inc","AP650"
"Air Kokshetau","AP484"
"Air China","AP318"
"Servicios Aereos Del Centro","AP117"
"B&H Airlines","AP303"
"Polar Airlines","AP568"
"Fly Europa Limited","AP912"
"Airservices Australia","AP13"
"Nile Air","AP825"
"Air New Zealand","AP15"
"Shaheen Air Cargo","AP436"
"Flight Inspection Center of the General Administration of Civil Aviation in China","AP819"
"May Air Xpress","AP954"
"CHC Denmark","AP106"
"Izhavia","AP379"
"Aserca Airlines","AP666"
"SPASA","AP895"
"Visionair","AP588"
"Nationale Luchtvaartschool","AP395"
"WRA Inc","AP338"
"Primavia Limited","AP513"
"Mofaz Air","AP430"
"Vichi","AP372"
"Jayrow","AP356"
"KoralBlue Airlines","AP834"
"Aero Modelo","AP146"
"Air Luxor STP","AP334"
"Maastricht Airlines","AP4"
"Flugschule Eichenberger","AP607"
"Ukraine Air Enterprise","AP113"
"Aero Biniza","AP123"
"Rotana Jet","AP194"
"Astair","AP392"
"Sky Angkor Airlines (ZA)","AP137"
"Transmed Airlines","AP764"
"South Central Air","AP150"
"Aviance","AP172"
"Air Astana","AP197"
"Midwest Air Freighters","AP359"
"QatXpress","AP477"
"Omskavia Airline","AP734"
"Katekavia","AP461"
"British Caribbean Airways","AP549"
"Sonalysts","AP682"
"Air Intersalonika","AP725"
"Flugschule Basel","AP778"
"Aero Services Executive","AP75"
"Lid Air","AP629"
"Monky Aerotaxis","AP490"
"Freedom Air","AP419"
"Airline Alania","AP749"
"Butane Buzzard Aviation Corporation","AP249"
"Aero Tanala","AP971"
"Aero Servicios Vanguardia","AP192"
"Dunyaya Bakis Hava Tasimaciligi","AP269"
"Inter Air","AP977"
"Compagnie Aerienne du Mali","AP662"
"Red Star","AP177"
"SwedJet Airways","AP973"
"Aerosaab","AP423"
"Air Mobility Command","AP746"
"Nomad Aviation","AP758"
"Association of Private Pilots of Kazakhstan","AP272"
"Palau Trans Pacific Airline","AP887"
"Silverhawk Aviation","AP944"
"Delta Engineering Aviation","AP801"
"Interfreight Forwarding","AP756"
"Air China Cargo","AP863"
"Air Ban","AP436"
"Air Bangladesh","AP275"
"Destiny Air Services","AP604"
"Heritiage Flight (Valley Air Services)","AP486"
"Wermlandsflyg AB","AP162"
"First Air Transport","AP189"
"Wimbi Dira Airways","AP909"
"South African Air Force","AP163"
"Tunisavia","AP460"
"Aviones de Sonora","AP139"
"Silverhawk Aviation","AP907"
"Central European Airlines","AP92"
"Tranporte Amazonair","AP587"
"Tyrolean Airways","AP557"
"Aereonautica militare","AP321"
"Alpi Eagles","AP231"
"International Europe","AP82"
"Frontier Airlines","AP96"
"Black Stallion Airways","AP756"
"Swedish Armed Forces","AP618"
"Take Air Line","AP947"
"Coastal Air Transport","AP454"
"Aeroper","AP844"
"Korongo Airlines","AP851"
"Servicios Aereos Slainte","AP574"
"Bateleur Air","AP123"
"Russkie Krylya","AP734"
"Polar Air Cargo","AP527"
"Spirit of Manila Airlines","AP769"
"Berkhut ZK","AP52"
"Rangemile Limited","AP156"
"Rivne Universal Avia","AP313"
"Aerosuper","AP733"
"Allegheny Commuter Airlines","AP181"
"Transportes Aereos Regionales","AP79"
"Intersky","AP152"
"EasyFly","AP503"
"Air Cal","AP840"
"Concordavia","AP751"
"American Flight Service Systems","AP789"
"SITA","AP613"
"LASTP","AP367"
"AirOne Polska","AP191"
"Transair International Linhas Aereas","AP759"
"Dirgantara Air Service","AP856"
"Rwandair Express","AP963"
"Texas Spirit","AP940"
"Ensenada Vuelos Especiales","AP142"
"TEA Switzerland","AP594"
"Origin Pacific Airways","AP197"
"Africair Service","AP734"
"Madina Air","AP967"
"Federal Airlines","AP871"
"Laker Airways","AP12"
"Trans Sahara Air","AP121"
"Tex Star Air Freight","AP155"
"Island Spirit","AP682"
"Arctic Wings And Rotors Ltd.","AP708"
"Flybe","AP746"
"Solent Flight","AP194"
"Aeromexhaga","AP803"
"KSY","AP141"
"Air Fecteau","AP978"
"Aroostook Aviation","AP892"
"Tellavia / Flight One","AP742"
"Petroleum Helicopters de Colombia","AP295"
"AMP Incorporated","AP820"
"North-Wright Airways","AP432"
"Sky Gate International Aviation","AP90"
"Pegasus Helicopters","AP157"
"Wittering FTU","AP482"
"Flightlink Tanzania","AP821"
"Bluebird Cargo","AP355"
"Finalair Congo","AP307"
"Atlantic Air Services","AP990"
"Air Choice One","AP390"
"Senator Aviation Charter","AP448"
"Lockheed Air Terminal","AP761"
"Equatorial Airlines","AP405"
"Vernicos Aviation","AP491"
"Austral Brasil","AP462"
"Slok Air Gambia","AP62"
"O'Connor Airlines","AP274"
"Sky Exec Aviation Services","AP314"
"West Coast Airlines","AP147"
"Air Sofia","AP92"
"First Flying","AP595"
"Flight Precision Limited","AP768"
"Peach Air","AP7"
"Pacific Wings","AP194"
"McNeely Charter Services","AP352"
"Pawan Hans","AP254"
"Maine Aviation","AP902"
"Air Transport","AP11"
"Aero Servicios Azteca","AP297"
"Vuelos Especializados Tollocan","AP245"
"Jetstar Airways","AP450"
"Cirrus Airlines","AP542"
"Aero Fenix","AP378"
"Nortland Air Manitoba","AP556"
"Dix Aviation","AP334"
"Ram Aircraft Corporation","AP501"
"Jordan International Air Cargo","AP819"
"Flightline","AP172"
"Executive Air Charter","AP242"
"Artem-Avia","AP34"
"Air Adriatic","AP966"
"Church Aircraft","AP422"
"Rog-Air","AP214"
"Commonwealth Jet Service","AP40"
"Click Airways","AP381"
"SAETA","AP135"
"TUIfly Nordic","AP472"
"Lamra","AP177"
"Tajikair","AP588"
"Polizeihubschrauberstaffel Sachsen","AP874"
"Priester Aviation","AP427"
"Jet Freighters","AP468"
"High-Line Airways","AP57"
"Roswell Airlines","AP207"
"Southern Airways","AP599"
"Oxley Aviation","AP682"
"Air Tindi","AP579"
"Balear Express","AP216"
"Ibicenca Air","AP625"
"Aviainvest","AP733"
"Gomelavia","AP216"
"Rwanda Airways","AP758"
"Air Bourbon","AP453"
"Sirvair","AP309"
"Notams International","AP721"
"Swiss Eagle","AP663"
"LAN Peru","AP29"
"Motor Sich","AP768"
"Eurojet Limited","AP61"
"Global Jet Luxembourg","AP345"
"Tara Air Line","AP142"
"Atlas Blue","AP338"
"Kallat El Saker Air Company","AP790"
"Rockwell Collins Avionics","AP482"
"Atlantic Air Lift","AP740"
"Vanguardia en Aviacion en Colima","AP614"
"Comfort Express Virtual Charters","AP531"
"Aerologic","AP323"
"Billund Air Center","AP705"
"Salair","AP38"
"Trans Service Airlift","AP757"
"Air Mozambique","AP295"
"Shandong Airlines Rainbow Jet","AP542"
"Livingston","AP115"
"Transportes Aereos Mexiquenses","AP790"
"Gulf Air Inc","AP526"
"Air Kissari","AP566"
"Dala Air Services","AP595"
"Skystar International","AP476"
"Georgian Airways","AP743"
"Russian Aircraft Corporation-MiG","AP480"
"Aero-Pyrenees","AP708"
"Ecuatoguineana De Aviacion (EGA)","AP390"
"Geographic Air Surveys","AP743"
"Harmony Airways","AP947"
"Trans Sayegh Airport Services","AP345"
"Sat Airlines","AP822"
"Tbilisi Aviation University","AP516"
"Rotana Jet","AP594"
"Commander Mexicana","AP793"
"Airways","AP811"
"Aerolineas Africanas","AP639"
"Bond Offshore Helicopters","AP208"
"Executive Jet Management","AP739"
"Metro Express","AP304"
"Royal Air Cargo","AP365"
"Interfreight Forwarding","AP304"
"Meridian Air Cargo","AP389"
"Angara Airlines","AP675"
"Stuttgarter Flugdienst","AP278"
"Golden Myanmar Airlines","AP538"
"Aero Mongolia","AP892"
"Hola Airlines","AP152"
"Air Southwest","AP414"
"Boeing","AP247"
"Organizacoes Mambra","AP499"
"Carpatair","AP565"
"Century Aviation","AP513"
"South-Airlines","AP749"
"Aerodromo De La Mancha","AP464"
"Balmoral Central Contracts","AP447"
"VOLOTEA Airways","AP160"
"Lina Congo","AP336"
"V Bird Airlines Netherlands","AP930"
"Rath Aviaton","AP595"
"Flexair","AP222"
"Probiz Guinee","AP717"
"Chanchangi Airlines","AP117"
"Transportes Aereos de Ixtlan","AP603"
"Avia Air N.V.","AP310"
"Navid","AP703"
"Raytheon Travel Air","AP357"
"Airlink (SAA)","AP929"
"Aerovias Ejecutivas","AP209"
"Air Japan","AP450"
"Avion Taxi","AP125"
"FlyEgypt","AP755"
"Aerosiyusa","AP59"
"Mandarin Airlines","AP39"
"Thai Flying Helicopter Service","AP458"
"Panavia","AP629"
"MAS Airways","AP793"
"Commodore Aviation","AP51"
"Sowind Air","AP720"
"Aerojal","AP70"
"Linea Aerea Costa Norte","AP938"
"AlbaStar","AP95"
"Caribbean Airways","AP789"
"Air Special","AP629"
"Aero Benin","AP642"
"Aeropiloto","AP835"
"Super Luza","AP756"
"Aeroway","AP905"
"Oman Royal Flight","AP232"
"Aeroexpreso Interamericano","AP497"
"Hungarian Air Force","AP940"
"WestJet","AP249"
"Murray Air","AP33"
"Niki","AP513"
"Flylink Express","AP753"
"Lignes Mauritaniennes Air Express","AP808"
"Angkor Airlines","AP721"
"Natureair","AP237"
"Sky Eyes","AP181"
"Bright Air","AP695"
"Pannon Air Service","AP13"
"Central Airlines","AP420"
"Air Executive Charter","AP107"
"Ronso","AP500"
"Young Flying Service","AP786"
"UVT Aero","AP375"
"Pearl Air","AP152"
"Greenfly","AP65"
"Haiti International Air","AP998"
"Flexair","AP978"
"L-3 Communications Flight Internation Aviation","AP246"
"Audeli Air","AP426"
"Swiss Jet","AP936"
"Thai Star Airlines","AP507"
"Polestar Aviation","AP141"
"Aerotaxis Metropolitanos","AP61"
"Angel Flight America","AP545"
"Continental Express","AP151"
"Cetraca Aviation Service","AP919"
"United Arabian Airlines","AP903"
"Central Connect Airlines","AP421"
"Executive Air Fleet","AP542"
"Aero Slovakia","AP766"
"TAN-SAHSA","AP361"
"40-Mile Air","AP18"
"Mexicana de Aviaci","AP837"
"WestAir Airlines","AP936"
"Empresa de Aviacion Aerogaviota","AP359"
"Jeppesen Data Plan","AP696"
"Commander Air Charter","AP95"
"Somon Air","AP694"
"Jetrider International","AP884"
"Transafricaine","AP91"
"Alrosa-Avia","AP22"
"US Helicopter","AP833"
"Deadalos Flugtbetriebs","AP130"
"All Asia","AP191"
"DAP Helicopteros","AP494"
"Pan Europeenne Air Service","AP991"
"Anderson Aviation","AP823"
"Griffin Aviation","AP621"
"Hokuriki-Koukuu Company","AP810"
"Albisa","AP885"
"Priester Aviation","AP98"
"FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt","AP316"
"Sun Freight Logistics","AP263"
"North-Wright Airways","AP386"
"Miami Air Charter","AP994"
"Air Djibouti","AP529"
"Comercial Aerea","AP308"
"Bulgarian Air Charter","AP421"
"Merpati Nusantara Airlines","AP269"
"Army Air Corps","AP869"
"Golden Myanmar Airlines","AP701"
"Air North Charter - Canada","AP277"
"Aero Modelo","AP178"
"Air Wales","AP258"
"FOX Linhas Aereas","AP717"
"Japan Aircraft Service","AP722"
"Tien-Shan","AP975"
"Somali Airlines","AP760"
"Comfort Express Virtual Charters","AP743"
"Gestar","AP361"
"Avcard Services","AP744"
"Jettor Airlines","AP156"
"Aeronord-Grup","AP157"
"NEL Cargo","AP894"
"Abakan-Avia","AP507"
"Reef Air","AP135"
"EPAG Groupe Air France","AP933"
"Aer Lingus","AP349"
"The Army Aviation Heritage Foundation","AP136"
"Allied Air","AP622"
"Skyraidybos Mokymo Centras","AP73"
"El Sol De America","AP619"
"BF-Lento OY","AP499"
"Phillips Air","AP677"
"Andalus Lineas Aereas","AP957"
"Zapolyarie Airlines","AP817"
"Pskovavia","AP162"
"Flight Ops International","AP32"
"Premiair Aviation Services","AP917"
"Aero Citro","AP460"
"Aerotucan","AP611"
"Elidolomiti","AP171"
